YEAR,MO,DY,HR,T2M,RH2M,PS,WS10M,WD10M
2013,1,8,13,25.94,85.62,98.94,6.53,256.01
2013,1,8,14,25.6,87.62,98.89,6.51,256.88
2013,1,8,15,25.24,89.69,98.88,6.27,257.47
2013,1,8,16,24.97,91.38,98.93,5.88,258.03
2013,1,8,17,24.69,92.44,98.98,5.39,259.05
2013,1,8,18,24.46,92.56,99.03,5.33,260.21
2013,1,8,19,24.33,92.31,99.07,5.44,260.32
2013,1,8,20,24.29,92.25,99.09,5.29,258.92
2013,1,8,21,24.28,92.38,99.09,5.07,257.27
2013,1,8,22,24.23,92.56,99.04,4.73,256.93
2013,1,8,23,24.17,92.69,98.97,4.51,257.48
2013,1,9,0,24.08,93.06,98.89,4.41,258.25
2013,1,9,1,24.06,93.31,98.84,4.44,258.12
2013,1,9,2,24.0,93.94,98.83,4.23,259.25
2013,1,9,3,23.94,94.62,98.85,3.95,260.89
2013,1,9,4,23.99,94.88,98.89,4.16,262.34
2013,1,9,5,24.2,94.5,98.92,4.84,262.86
2013,1,9,6,24.79,93.19,98.94,5.71,262.92
2013,1,9,7,25.27,91.56,98.96,6.63,262.55
2013,1,9,8,25.73,89.25,98.97,7.42,263.95
2013,1,9,9,26.21,86.81,98.95,7.9,265.75
2013,1,9,10,26.61,84.88,98.91,8.1,266.85
2013,1,9,11,26.9,83.31,98.86,8.2,266.28
2013,1,9,12,27.05,82.38,98.8,8.35,264.52
2013,1,9,13,27.03,82.06,98.73,8.63,263.5
2013,1,9,14,26.93,82.0,98.67,8.83,262.68
2013,1,9,15,26.68,82.75,98.68,8.82,262.16
2013,1,9,16,26.22,85.56,98.74,8.3,262.1
2013,1,9,17,25.55,88.88,98.83,7.58,263.31
2013,1,9,18,25.07,90.31,98.91,7.46,265.19
2013,1,9,19,24.94,90.38,98.97,7.51,267.8
2013,1,9,20,24.9,90.38,98.99,7.48,270.3
2013,1,9,21,24.9,90.25,98.95,8.08,271.05
2013,1,9,22,24.83,90.38,98.89,8.63,271.04
2013,1,9,23,24.73,90.62,98.82,8.74,272.36
2013,1,10,0,24.61,91.0,98.75,8.41,274.69
2013,1,10,1,24.55,91.25,98.69,7.89,277.22
2013,1,10,2,24.54,91.5,98.67,7.45,277.89
