YEAR,MO,DY,HR,T2M,RH2M,PS,WS10M,WD10M
2013,1,8,17,25.51,88.88,98.75,5.23,260.89
2013,1,8,18,25.11,91.12,98.81,5.01,258.76
2013,1,8,19,25.01,91.62,98.86,5.22,258.25
2013,1,8,20,24.9,91.56,98.91,5.55,258.29
2013,1,8,21,24.74,91.25,98.92,5.7,258.77
2013,1,8,22,24.57,91.25,98.9,5.36,260.52
2013,1,8,23,24.43,91.06,98.83,4.92,262.6
2013,1,9,0,24.35,90.69,98.75,4.76,263.68
2013,1,9,1,24.29,90.12,98.7,4.53,264.46
2013,1,9,2,24.22,89.56,98.67,4.23,265.12
2013,1,9,3,24.13,89.62,98.69,3.86,266.63
2013,1,9,4,24.07,90.06,98.72,3.82,264.13
2013,1,9,5,24.05,90.75,98.77,3.91,259.63
2013,1,9,6,24.56,90.19,98.81,4.45,255.87
2013,1,9,7,25.09,89.19,98.85,5.29,254.16
2013,1,9,8,25.46,88.12,98.85,6.17,255.17
2013,1,9,9,25.7,87.31,98.85,6.97,257.24
2013,1,9,10,25.79,86.69,98.83,7.79,261.0
2013,1,9,11,25.71,86.12,98.79,8.37,265.34
2013,1,9,12,25.6,85.56,98.73,8.76,268.42
2013,1,9,13,25.44,85.62,98.66,8.84,269.75
2013,1,9,14,25.29,86.12,98.6,8.76,270.36
2013,1,9,15,25.1,87.25,98.59,8.52,270.89
2013,1,9,16,24.91,88.94,98.64,8.25,271.63
2013,1,9,17,24.72,90.81,98.7,7.75,272.95
2013,1,9,18,24.61,91.81,98.77,7.59,274.49
2013,1,9,19,24.62,92.0,98.82,7.6,276.73
2013,1,9,20,24.57,91.88,98.86,7.66,279.04
2013,1,9,21,24.46,91.75,98.85,7.61,280.41
2013,1,9,22,24.42,91.75,98.82,7.43,280.73
2013,1,9,23,24.43,91.81,98.75,7.16,279.99
2013,1,10,0,24.5,91.88,98.67,6.93,277.51
2013,1,10,1,24.62,91.75,98.6,6.71,273.87
2013,1,10,2,24.72,91.69,98.55,6.58,268.5
2013,1,10,3,24.79,91.5,98.54,6.77,263.24
2013,1,10,4,24.85,91.5,98.57,7.06,259.61
2013,1,10,5,24.89,91.81,98.62,7.36,260.72
2013,1,10,6,25.07,91.38,98.68,7.73,264.26
2013,1,10,7,25.43,89.69,98.74,8.44,266.82
2013,1,10,8,25.93,86.19,98.77,9.35,266.93
2013,1,10,9,26.51,83.0,98.77,9.93,266.21
2013,1,10,10,27.17,79.94,98.74,10.26,265.63
2013,1,10,11,27.4,78.75,98.67,10.18,264.72
2013,1,10,12,27.5,78.25,98.58,10.09,263.64
2013,1,10,13,27.37,78.5,98.51,9.8,262.54
2013,1,10,14,27.15,79.12,98.47,9.45,260.91
2013,1,10,15,26.73,80.88,98.48,8.89,258.9
2013,1,10,16,26.25,83.31,98.53,8.4,259.33
2013,1,10,17,25.65,87.0,98.6,7.59,261.77
2013,1,10,18,25.21,89.62,98.68,7.01,265.27
2013,1,10,19,25.12,90.06,98.73,6.95,269.87
2013,1,10,20,25.06,90.19,98.77,6.86,273.72
2013,1,10,21,25.01,90.38,98.78,6.58,275.32
2013,1,10,22,25.01,90.38,98.77,6.58,274.7
2013,1,10,23,24.99,89.94,98.74,7.02,273.89
2013,1,11,0,24.92,89.94,98.69,7.36,275.73
2013,1,11,1,24.9,90.25,98.63,7.68,277.66
2013,1,11,2,24.89,90.81,98.59,7.85,279.16
2013,1,11,3,24.89,91.12,98.61,7.85,279.91
2013,1,11,4,24.9,91.38,98.65,7.54,280.81
2013,1,11,5,24.94,91.5,98.7,7.11,282.05
2013,1,11,6,25.3,91.06,98.76,7.07,282.44
2013,1,11,7,25.8,89.88,98.82,7.81,281.78
2013,1,11,8,26.17,88.06,98.85,8.79,281.48
2013,1,11,9,26.43,86.62,98.85,9.35,281.13
2013,1,11,10,26.73,85.12,98.82,9.6,280.31
2013,1,11,11,26.86,84.44,98.77,9.64,280.03
2013,1,11,12,26.93,83.38,98.72,9.59,281.94
2013,1,11,13,27.01,81.5,98.65,9.39,284.8
2013,1,11,14,26.97,80.88,98.59,8.8,289.5
2013,1,11,15,26.87,81.12,98.57,8.38,297.31
2013,1,11,16,26.57,82.81,98.61,8.41,304.13
2013,1,11,17,25.92,87.0,98.7,8.11,307.49
2013,1,11,18,25.39,90.19,98.79,8.03,303.21
2013,1,11,19,25.3,90.5,98.87,8.42,293.33
