YEAR,MO,DY,HR,T2M,RH2M,PS,WS10M,WD10M
2013,1,10,0,23.95,91,95.51,7.7,285.6
2013,1,10,1,23.77,90.56,95.44,8.13,287.67
2013,1,10,2,23.58,90,95.41,8.09,288
2013,1,10,3,23.4,90,95.42,7.51,287.3
2013,1,10,4,23.29,90.81,95.46,6.57,285.59
2013,1,10,5,23.28,91.38,95.52,6.04,282.85
2013,1,10,6,23.38,90.81,95.58,6.01,280.04
2013,1,10,7,23.94,87.06,95.65,6.5,278.3
2013,1,10,8,25.02,80.44,95.67,7.08,277.29
2013,1,10,9,26.19,74.69,95.66,7.5,277.18
2013,1,10,10,27.12,71,95.62,7.78,278.54
2013,1,10,11,27.84,68.44,95.56,7.65,281.2
2013,1,10,12,28.47,67,95.49,7.28,283.84
2013,1,10,13,28.84,66.38,95.41,6.86,286
2013,1,10,14,28.94,66.38,95.32,6.44,288.39
2013,1,10,15,28.44,68.94,95.29,5.8,290.34
2013,1,10,16,27.73,73,95.33,4.97,290.06
2013,1,10,17,26.84,78.25,95.43,4.14,284.74
2013,1,10,18,25.96,83.19,95.54,3.16,281.56
2013,1,10,19,25.45,86.25,95.6,2.87,285.82
2013,1,10,20,25.13,89.12,95.65,2.87,288.93
2013,1,10,21,24.91,91.38,95.7,2.8,292.78
2013,1,10,22,24.65,93.25,95.7,2.87,294.61
2013,1,10,23,24.42,93.12,95.65,3.51,292.11
2013,1,11,0,24.23,92.38,95.6,4.26,289.5
2013,1,11,1,23.94,92.44,95.56,4.55,289.55
2013,1,11,2,23.67,92.5,95.55,4.75,289.69
2013,1,11,3,23.47,91.81,95.57,4.71,288.46
2013,1,11,4,23.35,90.69,95.61,4.62,287.21
2013,1,11,5,23.22,90,95.68,4.25,287.1
2013,1,11,6,23.32,89,95.76,4.32,288.47
2013,1,11,7,24.27,85.06,95.82,5.23,288.84
2013,1,11,8,25.51,78.44,95.83,6.21,287.66
2013,1,11,9,26.69,72.31,95.79,6.71,285.8
2013,1,11,10,27.48,69.38,95.73,6.53,286.18
2013,1,11,11,27.65,69.56,95.68,6.1,290.68
2013,1,11,12,27.73,70.06,95.67,6.02,297.6
2013,1,11,13,27.68,70.56,95.65,6.03,302.52
2013,1,11,14,27.48,71.38,95.62,5.83,304.52
2013,1,11,15,27.37,73.25,95.6,5.51,304.19
2013,1,11,16,26.8,77.38,95.63,5.02,304.21
2013,1,11,17,26.07,82.5,95.7,4.46,303.63
2013,1,11,18,25.33,87.56,95.78,3.67,304.16
2013,1,11,19,24.96,90.44,95.84,3.69,304.73
2013,1,11,20,24.81,92.12,95.88,3.76,303.82
